,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
437,Type B,Average (known delays),Home furniture,4312.0,0-200,7+ Years,Divorced,No,No Security,42.0,House Owner,Professional / Management,No,No
438,Type B,critical,Home Devices,1429.0,0-200,5-7 Years,Male,No,Savings Account,28.0,House Owner,Skilled Labor,No,No
439,Type B,critical,Advance Edu/training,934.0,No Data,5-7 Years,Female,No,Savings Account,37.0,House Owner,Services,No,Yes
440,Type B,Good,TV,630.0,0-200,0-2 Years,Married,Yes,Property - Real Estate,24.0,House Owner,Services,No,Yes
441,Type B,Good,TV,10973.0,1000+,5-7 Years,Male,Yes,No Security,25.0,House Owner,Skilled Labor,No,No
442,Type B,Good,TV,873.0,0-200,2-5 Years,Married,Yes,Property - Real Estate,27.0,House Owner,Services,No,Yes
443,Type B,Good,Buying a New Car,14568.0,No Data,Unemployed,Male,No,Savings Account,21.0,House Owner,Not Employed,No,No
444,Type B,Good,Support for Business,2783.0,200-500,7+ Years,Divorced,No,Vehicle,62.0,Renting,Services,No,No
445,Type B,Good,Buying a New Car,2169.0,0-200,2-5 Years,Female,Yes,No Security,24.0,House Owner,Skilled Labor,No,No
446,Type B,Good,Home furniture,2050.0,No Data,5-7 Years,Male,No,Vehicle,22.0,House Owner,Skilled Labor,No,Yes
447,Type B,Average (known delays),TV,7437.0,No Data,2-5 Years,Male,No,Property - Real Estate,28.0,House Owner,Services,No,Yes
448,Type B,Good,TV,818.0,0-200,7+ Years,Male,No,Vehicle,39.0,House Owner,Skilled Labor,No,No
449,Type B,Average (known delays),Buying a New Car,12186.0,No Data,Unemployed,Male,Yes,No Security,35.0,Free,Professional / Management,No,Yes
450,Type B,Good,TV,3077.0,0-200,5-7 Years,Male,No,Property - Real Estate,30.0,House Owner,Skilled Labor,No,No
451,Type B,critical,Buying a New Car,3894.0,200-500,0-2 Years,Divorced,No,Vehicle,38.0,House Owner,Skilled Labor,No,Yes
452,Type B,Average (known delays),All other,7599.0,200-500,Unemployed,Male,No,No Security,31.0,Free,Professional / Management,No,Yes
453,Type B,Good,TV,1112.0,0-200,2-5 Years,Female,Yes,Property - Real Estate,47.0,House Owner,Skilled Labor,No,Yes
454,Type B,Good,Buying a Used Car,9413.0,0-200,0-2 Years,Married,No,Vehicle,28.0,Renting,Professional / Management,No,No
455,Type B,Good,Home furniture,9968.0,0-200,0-2 Years,Female,No,Vehicle,28.0,House Owner,Skilled Labor,No,No
456,Type B,critical,Home furniture,2765.0,1000+,5-7 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
457,Type B,Good,TV,3809.0,0-200,2-5 Years,Female,No,Vehicle,41.0,House Owner,Skilled Labor,No,No
458,Type B,Good,Home furniture,1242.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,No
459,Type B,Good,Buying a New Car,296.0,0-200,2-5 Years,Married,No,Property - Real Estate,24.0,Renting,Services,No,Yes
460,Type B,Good,All other,5399.0,No Data,Unemployed,Male,No,No Security,40.0,Free,Not Employed,No,Yes
461,Type B,Good,Buying a New Car,686.0,0-200,5-7 Years,Married,No,Vehicle,26.0,House Owner,Services,No,No
462,Type B,Good,Home furniture,4362.0,No Data,2-5 Years,Female,No,Savings Account,47.0,House Owner,Services,No,Yes
463,Type B,critical,Buying a New Car,4260.0,0-200,Unemployed,Married,No,Vehicle,30.0,House Owner,Professional / Management,No,No
464,Type B,Good,TV,1080.0,0-200,7+ Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
465,Type B,Good,Buying a New Car,7422.0,200-500,0-2 Years,Female,No,Savings Account,26.0,House Owner,Professional / Management,No,No
466,Type B,Good,TV,2104.0,0-200,0-2 Years,Female,Yes,Savings Account,25.0,House Owner,Services,No,Yes
467,Type B,Good,Home furniture,1539.0,0-200,2-5 Years,Divorced,No,Vehicle,31.0,House Owner,Services,No,Yes
468,Type B,critical,Learning / Edu purposes,5748.0,0-200,0-2 Years,Female,No,No Security,25.0,Free,Skilled Labor,No,No
469,Type B,Good,TV,3217.0,500-1000,0-2 Years,Married,No,Property - Real Estate,26.0,Renting,Skilled Labor,No,Yes
470,Type B,Good,Support for Business,4441.0,0-200,7+ Years,Male,Yes,Property - Real Estate,31.0,House Owner,Professional / Management,No,Yes
471,Type B,critical,TV,886.0,0-200,0-2 Years,Male,Yes,Property - Real Estate,22.0,House Owner,Skilled Labor,No,No
472,Type B,Good,TV,3764.0,500-1000,Unemployed,Female,No,No Security,24.0,Renting,Not Employed,No,Yes
473,Type B,critical,Learning / Edu purposes,1142.0,1000+,7+ Years,Male,No,No Security,34.0,Free,Skilled Labor,No,No
474,Type B,Good,Home furniture,969.0,0-200,2-5 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,Yes,No
475,Type B,Good,Buying a New Car,1253.0,0-200,0-2 Years,Male,No,Property - Real Estate,23.0,House Owner,Services,No,No
476,Type B,Good,Learning / Edu purposes,1258.0,No Data,2-5 Years,Male,No,No Security,62.0,Free,Skilled Labor,No,Yes
477,Type B,Good,Home furniture,3015.0,0-200,5-7 Years,Female,No,Property - Real Estate,42.0,Renting,Skilled Labor,No,Yes
478,Type B,Average (known delays),All other,14792.0,200-500,7+ Years,Female,No,No Security,61.0,Free,Professional / Management,No,No
479,Type B,Good,Buying a New Car,14334.0,0-200,7+ Years,Male,No,No Security,55.0,Free,Professional / Management,No,No
480,Type B,Good,Buying a Used Car,12987.0,0-200,Unemployed,Female,No,No Security,36.0,Free,Professional / Management,No,No
481,Type B,critical,Home furniture,7390.0,0-200,Unemployed,Male,No,Savings Account,41.0,House Owner,Professional / Management,No,No
482,Type B,critical,Support for Business,2327.0,500-1000,2-5 Years,Male,No,Vehicle,25.0,House Owner,Skilled Labor,No,Yes
483,Type B,Good,Home furniture,988.0,1000+,0-2 Years,Female,No,Property - Real Estate,21.0,Renting,Services,No,Yes
484,Type B,Average (known delays),Learning / Edu purposes,11764.0,200-500,5-7 Years,Male,No,No Security,32.0,Renting,Skilled Labor,No,Yes
485,Type B,Good,Buying a New Car,1234.0,0-200,7+ Years,Divorced,No,Property - Real Estate,46.0,Renting,Skilled Labor,No,No
486,Type B,critical,Support for Business,1907.0,No Data,2-5 Years,Married,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,Yes
487,Type B,Average (known delays),Buying a New Car,2919.0,No Data,7+ Years,Male,No,Vehicle,42.0,House Owner,Skilled Labor,No,Yes
488,Type B,Good,TV,2040.0,0-200,0-2 Years,Married,No,Savings Account,21.0,House Owner,Skilled Labor,No,No
489,Type B,Good,TV,1980.0,0-200,7+ Years,Female,No,Vehicle,20.0,House Owner,Skilled Labor,No,Yes
490,Type B,Good,Buying a New Car,1047.0,No Data,2-5 Years,Female,No,Savings Account,33.0,House Owner,Skilled Labor,No,No
491,Type B,Good,Buying a Used Car,2044.0,No Data,2-5 Years,Male,No,Vehicle,30.0,House Owner,Skilled Labor,No,Yes
492,Type B,critical,Buying a New Car,965.0,0-200,5-7 Years,Male,No,Property - Real Estate,47.0,House Owner,Services,No,No
493,Type B,Good,Home furniture,2778.0,No Data,7+ Years,Female,No,Savings Account,27.0,House Owner,Skilled Labor,No,No
494,Type B,Good,Buying a Used Car,2791.0,0-200,2-5 Years,Married,No,Vehicle,19.0,Renting,Skilled Labor,No,Yes
495,Type B,Good,All other,11332.0,0-200,2-5 Years,Male,Yes,Vehicle,27.0,House Owner,Professional / Management,No,No
496,Type B,Good,TV,1496.0,No Data,2-5 Years,Married,No,Property - Real Estate,23.0,House Owner,Skilled Labor,No,No
497,Type B,Average (known delays),All other,2641.0,0-200,2-5 Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,No
498,Type B,critical,Home furniture,5112.0,0-200,2-5 Years,Female,No,Vehicle,32.0,House Owner,Professional / Management,No,No
499,Type B,Good,TV,2582.0,0-200,2-5 Years,Male,Yes,Property - Real Estate,36.0,House Owner,Skilled Labor,No,Yes
500,Type B,Average (known delays),Renovation,1520.0,1000+,2-5 Years,Married,No,Savings Account,63.0,House Owner,Skilled Labor,No,No
501,Type B,Good,Home furniture,3035.0,0-200,0-2 Years,Female,No,Property - Real Estate,32.0,Renting,Professional / Management,No,Yes
502,Type B,Good,Advance Edu/training,759.0,No Data,7+ Years,Male,No,Savings Account,38.0,House Owner,Skilled Labor,No,Yes
503,Type B,Good,TV,3109.0,200-500,0-2 Years,Married,No,Vehicle,24.0,Renting,Skilled Labor,No,No
504,Type B,critical,TV,1262.0,0-200,2-5 Years,Married,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
505,Type B,Good,Support for Business,1047.0,200-500,5-7 Years,Male,No,Property - Real Estate,41.0,House Owner,Services,No,Yes
506,Type B,critical,TV,3588.0,0-200,2-5 Years,Female,No,Property - Real Estate,25.0,House Owner,Services,No,No
507,Type B,Good,Buying a New Car,1209.0,0-200,0-2 Years,Male,No,Savings Account,26.0,House Owner,Skilled Labor,No,Yes
508,Type B,Average (known delays),Buying a New Car,1220.0,0-200,Unemployed,Male,No,Savings Account,48.0,House Owner,Professional / Management,No,No
509,Type B,Good,Support for Business,8334.0,0-200,7+ Years,Female,No,No Security,42.0,Free,Professional / Management,No,No
510,Type B,Good,TV,373.0,No Data,7+ Years,Male,No,Savings Account,39.0,House Owner,Skilled Labor,No,Yes
511,Type B,Good,Home furniture,9043.0,200-500,0-2 Years,Male,Yes,No Security,27.0,Renting,Professional / Management,No,No
512,Type B,Good,TV,1317.0,0-200,7+ Years,Married,Yes,Property - Real Estate,34.0,House Owner,Services,No,Yes
513,Type B,critical,TV,1223.0,200-500,0-2 Years,Male,No,No Security,36.0,House Owner,Skilled Labor,No,No
514,Type B,Average (known delays),Buying a New Car,6853.0,200-500,Unemployed,Male,No,Savings Account,32.0,House Owner,Professional / Management,No,No
515,Type B,Average (known delays),TV,599.0,0-200,2-5 Years,Married,Yes,Property - Real Estate,18.0,Renting,Skilled Labor,No,No
516,Type B,Good,TV,1115.0,0-200,2-5 Years,Female,Yes,Property - Real Estate,28.0,House Owner,Services,No,Yes
517,Type B,Good,Buying a Used Car,7967.0,0-200,0-2 Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
518,Type B,Good,Learning / Edu purposes,2274.0,0-200,5-7 Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,Yes
519,Type B,Good,Buying a New Car,2650.0,200-500,2-5 Years,Female,No,Vehicle,30.0,Renting,Skilled Labor,No,No
520,Type B,critical,Home furniture,3622.0,0-200,7+ Years,Female,No,Savings Account,38.0,House Owner,Skilled Labor,No,No
521,Type B,Good,TV,1543.0,0-200,0-2 Years,Married,No,Property - Real Estate,23.0,Renting,Skilled Labor,No,No
522,Type B,critical,Buying a New Car,1997.0,200-500,0-2 Years,Male,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
523,Type B,Good,Learning / Edu purposes,1219.0,0-200,5-7 Years,Female,No,Savings Account,66.0,House Owner,Professional / Management,No,Yes
524,Type B,Good,TV,1333.0,0-200,0-2 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,No
525,Type B,Good,Buying a New Car,2297.0,200-500,0-2 Years,Female,No,Vehicle,30.0,House Owner,Skilled Labor,No,No
526,Type B,critical,Home furniture,1940.0,0-200,0-2 Years,Male,No,Property - Real Estate,32.0,House Owner,Services,No,No
527,Type B,Good,Buying a New Car,12396.0,No Data,2-5 Years,Male,No,No Security,39.0,Free,Skilled Labor,No,No
528,Type B,Average (known delays),Support for Business,4724.0,No Data,2-5 Years,Male,No,Savings Account,39.0,House Owner,Professional / Management,No,Yes
529,Type B,Average (known delays),TV,1565.0,200-500,5-7 Years,Female,No,Savings Account,23.0,Renting,Skilled Labor,No,Yes
530,Type B,Good,TV,3988.0,No Data,5-7 Years,Male,No,Vehicle,40.0,House Owner,Skilled Labor,No,Yes
531,Type B,Good,TV,1094.0,0-200,7+ Years,Male,No,Vehicle,28.0,House Owner,Services,No,Yes
532,Type B,Good,TV,2949.0,0-200,5-7 Years,Female,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,Yes
533,Type B,critical,Buying a New Car,2828.0,0-200,0-2 Years,Divorced,No,Vehicle,25.0,House Owner,Skilled Labor,No,No
534,Type B,critical,Buying a New Car,1076.0,0-200,7+ Years,Male,Yes,Property - Real Estate,30.0,House Owner,Skilled Labor,No,No
535,Type B,critical,Buying a New Car,3140.0,0-200,0-2 Years,Male,No,Property - Real Estate,48.0,House Owner,Services,No,No
536,Type B,Good,Renovation,2400.0,0-200,0-2 Years,Male,No,No Security,33.0,Renting,Services,No,No
537,Type B,Average (known delays),Buying a New Car,1975.0,No Data,2-5 Years,Female,No,Vehicle,41.0,Renting,Skilled Labor,No,Yes
538,Type B,Good,Buying a New Car,2734.0,0-200,2-5 Years,Female,No,Savings Account,19.0,Renting,Services,No,No
539,Type B,Average (known delays),Buying a New Car,936.0,200-500,0-2 Years,Female,No,Savings Account,30.0,House Owner,Services,No,No
540,Type B,Good,Support for Business,4244.0,0-200,2-5 Years,Male,No,Property - Real Estate,35.0,House Owner,Services,No,No
541,Type B,Good,TV,2349.0,0-200,0-2 Years,Female,Yes,Property - Real Estate,43.0,House Owner,Skilled Labor,No,Yes
542,Type B,Good,Home furniture,936.0,0-200,2-5 Years,Female,No,Savings Account,31.0,House Owner,Skilled Labor,No,No
543,Type B,Average (known delays),Learning / Edu purposes,1854.0,0-200,5-7 Years,Female,No,No Security,34.0,Free,Services,No,No
544,Type B,Good,TV,2688.0,200-500,2-5 Years,Female,Yes,No Security,50.0,Free,Skilled Labor,No,No
545,Type B,Good,Support for Business,12224.0,No Data,2-5 Years,Male,No,Vehicle,49.0,House Owner,Professional / Management,No,Yes
546,Type B,Average (known delays),TV,9169.0,No Data,2-5 Years,Male,No,No Security,26.0,Free,Professional / Management,No,Yes
547,Type B,Good,Home furniture,3450.0,200-500,2-5 Years,Female,Yes,Vehicle,22.0,Renting,Skilled Labor,No,No
548,Type B,critical,Support for Business,3654.0,0-200,5-7 Years,Male,No,Savings Account,26.0,House Owner,Skilled Labor,No,No
549,Type B,Average (known delays),Buying a New Car,1441.0,200-500,5-7 Years,Male,No,No Security,27.0,House Owner,Skilled Labor,No,No
550,Type B,Good,TV,1447.0,No Data,0-2 Years,Male,No,Savings Account,21.0,House Owner,Skilled Labor,No,Yes
551,Type B,Good,Buying a New Car,1366.0,0-200,0-2 Years,Female,No,Vehicle,23.0,House Owner,Services,No,No
552,Type B,Good,Renovation,1325.0,0-200,7+ Years,Male,No,Vehicle,38.0,House Owner,Services,No,Yes
553,Type B,Good,Home furniture,1925.0,0-200,2-5 Years,Male,No,Savings Account,37.0,House Owner,Services,No,No
554,Type B,Average (known delays),Buying a New Car,8100.0,200-500,7+ Years,Male,No,Vehicle,41.0,House Owner,Professional / Management,No,No
555,Type B,Good,Buying a New Car,902.0,0-200,7+ Years,Male,No,Vehicle,39.0,House Owner,Services,No,No
556,Type B,Good,Support for Business,4232.0,0-200,2-5 Years,Female,No,Vehicle,30.0,House Owner,Skilled Labor,No,Yes
557,Type B,critical,Home furniture,6370.0,0-200,7+ Years,Male,No,No Security,40.0,House Owner,Skilled Labor,No,No
558,Type B,Average (known delays),Home furniture,1066.0,0-200,Unemployed,Male,No,Savings Account,35.0,House Owner,Professional / Management,No,No
559,Type B,Average (known delays),Home furniture,3511.0,1000+,2-5 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
560,Type B,Good,TV,5601.0,200-500,2-5 Years,Married,No,Vehicle,22.0,House Owner,Skilled Labor,No,No
561,Type B,Average (known delays),Support for Business,9862.0,200-500,5-7 Years,Male,No,Savings Account,33.0,House Owner,Services,No,Yes
562,Type B,Average (known delays),Buying a New Car,2878.0,200-500,7+ Years,Male,No,No Security,30.0,Free,Skilled Labor,No,Yes
563,Type B,Good,Renovation,2638.0,200-500,2-5 Years,Female,No,Property - Real Estate,23.0,House Owner,Services,No,Yes
564,Type B,Good,TV,2914.0,200-500,0-2 Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
565,Type B,Good,TV,1118.0,0-200,5-7 Years,Male,Yes,Property - Real Estate,28.0,House Owner,Skilled Labor,Yes,Yes
566,Type B,Average (known delays),Support for Business,2517.0,200-500,7+ Years,Male,No,Savings Account,41.0,House Owner,Skilled Labor,No,Yes
567,Type B,Good,Support for Business,2543.0,0-200,0-2 Years,Female,No,Savings Account,32.0,House Owner,Skilled Labor,No,Yes
568,Type B,Good,Buying a New Car,6562.0,200-500,5-7 Years,Male,No,Savings Account,25.0,House Owner,Skilled Labor,No,No
569,Type B,Good,Home furniture,2989.0,0-200,0-2 Years,Female,No,Savings Account,25.0,Renting,Skilled Labor,No,No
570,Type B,Good,TV,1223.0,0-200,7+ Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,Yes
571,Type B,Good,TV,2129.0,0-200,2-5 Years,Male,No,Property - Real Estate,37.0,House Owner,Services,No,Yes
572,Type B,Good,Buying a New Car,14047.0,0-200,5-7 Years,Male,No,No Security,29.0,House Owner,Professional / Management,No,No
573,Type B,Good,Buying a Used Car,6162.0,200-500,7+ Years,Married,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
574,Type B,Average (known delays),Learning / Edu purposes,442.0,1000+,0-2 Years,Female,No,Savings Account,22.0,Renting,Skilled Labor,No,No
575,Type B,Good,TV,801.0,500-1000,2-5 Years,Female,No,Property - Real Estate,66.0,House Owner,Services,No,Yes
576,Type B,Average (known delays),Support for Business,6430.0,0-200,7+ Years,Female,No,No Security,57.0,Renting,Skilled Labor,No,No
577,Type B,Average (known delays),TV,6418.0,0-200,0-2 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
578,Type B,Good,TV,777.0,0-200,5-7 Years,Female,Yes,Property - Real Estate,42.0,House Owner,Services,No,Yes
579,Type B,Average (known delays),Home Devices,4007.0,No Data,0-2 Years,Female,No,No Security,30.0,House Owner,Not Employed,No,Yes
580,Type B,Good,Buying a Used Car,11572.0,0-200,2-5 Years,Female,No,Vehicle,22.0,Renting,Professional / Management,No,No
581,Type B,Good,Support for Business,4293.0,200-500,2-5 Years,Female,No,Vehicle,26.0,Renting,Services,No,No
582,Type B,Average (known delays),TV,1058.0,0-200,2-5 Years,Male,No,Property - Real Estate,21.0,House Owner,Services,No,No
583,Type B,Good,Support for Business,847.0,200-500,5-7 Years,Female,No,Property - Real Estate,24.0,Renting,Services,No,Yes
584,Type B,Good,TV,1164.0,0-200,7+ Years,Married,Yes,Property - Real Estate,42.0,House Owner,Services,No,Yes
585,Type B,critical,Home furniture,3630.0,0-200,7+ Years,Male,No,Vehicle,26.0,Renting,Skilled Labor,No,No
586,Type B,Good,Renovation,3879.0,0-200,Unemployed,Female,No,Vehicle,67.0,House Owner,Skilled Labor,No,Yes
587,Type B,critical,TV,4947.0,0-200,5-7 Years,Male,Yes,Property - Real Estate,27.0,House Owner,Skilled Labor,No,No
588,Type B,Good,Advance Edu/training,1415.0,0-200,2-5 Years,Male,No,Property - Real Estate,33.0,House Owner,Services,No,Yes
589,Type B,Good,Buying a New Car,849.0,200-500,0-2 Years,Female,No,Savings Account,25.0,House Owner,Services,No,No
590,Type B,Good,Buying a Used Car,6473.0,No Data,Unemployed,Divorced,No,Property - Real Estate,61.0,House Owner,Professional / Management,No,Yes
591,Type B,Good,Support for Business,1955.0,1000+,2-5 Years,Male,No,Savings Account,37.0,House Owner,Services,No,Yes
592,Type B,Average (known delays),Learning / Edu purposes,6238.0,0-200,7+ Years,Male,No,No Security,49.0,Free,Skilled Labor,No,No
593,Type B,Good,Support for Business,1202.0,0-200,7+ Years,Female,No,Savings Account,39.0,House Owner,Skilled Labor,No,No
594,Type B,Good,Buying a New Car,1563.0,No Data,0-2 Years,Male,No,Property - Real Estate,34.0,House Owner,Not Employed,No,Yes
595,Type B,critical,TV,1813.0,0-200,7+ Years,Female,Yes,Property - Real Estate,47.0,Renting,Services,No,No
596,Type B,Good,Buying a New Car,7490.0,No Data,Unemployed,Female,No,Property - Real Estate,22.0,Renting,Not Employed,No,Yes
597,Type B,Good,TV,606.0,0-200,0-2 Years,Married,No,Property - Real Estate,27.0,House Owner,Services,Yes,Yes
598,Type B,Average (known delays),Buying a Used Car,9296.0,0-200,Unemployed,Male,No,No Security,55.0,Free,Professional / Management,No,No
599,Type B,Good,Buying a New Car,1792.0,0-200,0-2 Years,Female,No,Property - Real Estate,27.0,Renting,Not Employed,No,No
600,Type B,Good,Support for Business,911.0,0-200,0-2 Years,Married,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
601,Type B,Good,TV,488.0,0-200,5-7 Years,Married,Yes,Property - Real Estate,27.0,House Owner,Services,No,Yes
602,Type B,Average (known delays),Buying a New Car,7444.0,0-200,2-5 Years,Female,No,Savings Account,54.0,Renting,Skilled Labor,No,No
603,Type B,Average (known delays),Support for Business,6691.0,No Data,2-5 Years,Male,No,No Security,38.0,Free,Skilled Labor,No,Yes
604,Type B,Good,TV,5092.0,No Data,7+ Years,Female,No,Vehicle,42.0,House Owner,Skilled Labor,No,Yes
605,Type B,Good,Home furniture,3983.0,No Data,5-7 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
606,Type B,critical,Buying a New Car,1325.0,1000+,2-5 Years,Female,No,Vehicle,39.0,House Owner,Skilled Labor,No,Yes
607,Type B,critical,Buying a New Car,2197.0,No Data,7+ Years,Male,No,Property - Real Estate,37.0,House Owner,Skilled Labor,No,Yes
608,Type B,Good,Home furniture,4074.0,0-200,5-7 Years,Divorced,No,Vehicle,41.0,House Owner,Skilled Labor,No,No
609,Type B,critical,Support for Business,2829.0,No Data,5-7 Years,Male,No,No Security,36.0,House Owner,Skilled Labor,No,Yes
610,Type B,Good,Support for Business,15689.0,0-200,2-5 Years,Male,No,Vehicle,23.0,House Owner,Skilled Labor,No,No
611,Type B,critical,Buying a Used Car,5803.0,0-200,2-5 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
612,Type B,Good,Learning / Edu purposes,3716.0,No Data,2-5 Years,Married,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
613,Type B,Good,Buying a New Car,3215.0,No Data,2-5 Years,Female,No,Property - Real Estate,35.0,House Owner,Services,No,Yes
614,Type B,critical,Home furniture,4744.0,0-200,0-2 Years,Female,No,Vehicle,27.0,House Owner,Services,No,No
615,Type B,Good,TV,3001.0,No Data,7+ Years,Female,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
616,Type B,Good,All other,18427.0,0-200,2-5 Years,Female,No,Savings Account,32.0,House Owner,Professional / Management,Yes,No
617,Type B,Good,Buying a New Car,2014.0,0-200,5-7 Years,Male,No,Savings Account,32.0,Renting,Skilled Labor,No,Yes
618,Type B,Good,TV,1688.0,0-200,0-2 Years,Female,No,Vehicle,23.0,House Owner,Skilled Labor,No,No
619,Type B,Average (known delays),TV,1938.0,200-500,0-2 Years,Male,No,No Security,31.0,House Owner,Professional / Management,No,No
620,Type B,Good,TV,2073.0,0-200,0-2 Years,Married,No,Vehicle,32.0,Renting,Professional / Management,No,Yes
621,Type B,Good,Learning / Edu purposes,6291.0,0-200,2-5 Years,Male,No,No Security,43.0,Free,Skilled Labor,No,No
622,Type B,Good,Buying a New Car,8373.0,500-1000,0-2 Years,Female,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
623,Type B,critical,Support for Business,3600.0,0-200,Unemployed,Married,No,Vehicle,38.0,House Owner,Not Employed,No,No
624,Type B,Good,Buying a Used Car,4115.0,500-1000,0-2 Years,Female,No,Vehicle,27.0,Renting,Skilled Labor,No,No
625,Type B,critical,TV,1158.0,0-200,7+ Years,Male,No,Property - Real Estate,39.0,House Owner,Services,No,No
626,Type B,Good,Home furniture,3082.0,200-500,7+ Years,Male,No,No Security,28.0,Free,Skilled Labor,No,Yes
627,Type B,Average (known delays),Buying a New Car,2373.0,0-200,2-5 Years,Divorced,No,Savings Account,49.0,House Owner,Skilled Labor,No,No
628,Type B,Good,Renovation,474.0,0-200,0-2 Years,Married,No,Savings Account,21.0,House Owner,Services,No,Yes
629,Type B,Good,TV,1720.0,No Data,2-5 Years,Female,No,Vehicle,25.0,House Owner,Skilled Labor,No,Yes
630,Type B,critical,TV,2539.0,500-1000,2-5 Years,Male,No,Savings Account,21.0,House Owner,Services,No,No
631,Type B,Good,Renovation,1522.0,200-500,2-5 Years,Male,Yes,Property - Real Estate,21.0,House Owner,Skilled Labor,No,Yes
632,Type B,Good,TV,770.0,0-200,2-5 Years,Female,Yes,Property - Real Estate,64.0,House Owner,Skilled Labor,No,Yes
633,Type B,Average (known delays),Support for Business,2440.0,No Data,7+ Years,Male,No,Savings Account,41.0,House Owner,Skilled Labor,No,Yes
634,Type B,Average (known delays),Buying a New Car,1266.0,200-500,2-5 Years,Married,No,Savings Account,24.0,Renting,Skilled Labor,No,No
635,Type B,critical,Home furniture,8393.0,0-200,5-7 Years,Male,No,Savings Account,48.0,House Owner,Skilled Labor,No,No
636,Type B,critical,TV,1758.0,0-200,7+ Years,Male,No,Savings Account,49.0,House Owner,Services,No,No
637,Type B,critical,Buying a Used Car,4594.0,200-500,Unemployed,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
638,Type B,Good,Support for Business,1582.0,200-500,2-5 Years,Female,No,Savings Account,25.0,Renting,Services,No,Yes
639,Type B,Good,Buying a New Car,1473.0,200-500,7+ Years,Married,No,Property - Real Estate,40.0,Renting,Services,No,Yes
640,Type B,Good,Buying a Used Car,2464.0,No Data,0-2 Years,Married,No,Vehicle,25.0,Renting,Skilled Labor,No,Yes
641,Type B,Good,Home furniture,1782.0,0-200,2-5 Years,Male,No,Property - Real Estate,26.0,Renting,Services,No,Yes
642,Type B,Good,Home furniture,3986.0,0-200,5-7 Years,Female,No,Savings Account,27.0,Renting,Skilled Labor,No,Yes
643,Type B,Good,TV,1966.0,0-200,5-7 Years,Male,No,Vehicle,29.0,Renting,Professional / Management,No,Yes
644,Type B,Good,TV,2112.0,0-200,5-7 Years,Married,No,Property - Real Estate,31.0,Renting,Skilled Labor,No,Yes
645,Type B,Good,Buying a New Car,1205.0,200-500,2-5 Years,Male,No,No Security,34.0,Renting,Skilled Labor,Yes,Yes
646,Type B,Good,TV,449.0,0-200,Unemployed,Female,Yes,Property - Real Estate,22.0,Renting,Skilled Labor,No,No
647,Type B,Good,TV,1905.0,200-500,2-5 Years,Male,No,Vehicle,28.0,Renting,Professional / Management,No,Yes
648,Type B,Good,Buying a Used Car,4695.0,No Data,0-2 Years,Female,No,Vehicle,20.0,Renting,Skilled Labor,No,Yes
649,Type B,Good,Buying a Used Car,4816.0,No Data,5-7 Years,Female,No,Savings Account,26.0,Renting,Services,No,Yes
650,Type B,Good,Home Devices,1251.0,0-200,0-2 Years,Female,No,Property - Real Estate,24.0,Renting,Skilled Labor,No,Yes
651,Type B,Good,Home furniture,1783.0,0-200,2-5 Years,Married,No,Savings Account,21.0,Renting,Skilled Labor,No,Yes
652,Type B,Good,Buying a New Car,1284.0,No Data,5-7 Years,Female,No,Savings Account,23.0,Renting,Skilled Labor,No,Yes
653,Type B,Good,TV,1146.0,No Data,0-2 Years,Female,No,Property - Real Estate,19.0,Renting,Skilled Labor,No,Yes
654,Type B,Good,Buying a New Car,1602.0,500-1000,2-5 Years,Male,No,No Security,38.0,Renting,Services,Yes,Yes
655,Type B,Good,Buying a New Car,3204.0,1000+,5-7 Years,Female,No,Vehicle,22.0,Renting,Skilled Labor,No,Yes
